id	booking_url	check
intro_vela	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=21991566&rl=0_0	OK
intro_laser_bikini_underarms	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865432&rl=0_0	OK
intro_bikini	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865426&rl=0_0	OK
intro_underarms	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=21116170&rl=0_0	OK
laser_set_1	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865178&rl=0_0	OK
laser_set_2	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865194&rl=0_0	OK
laser_set_3	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865225&rl=0_0	OK
laser_set_4	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865392&rl=0_0	OK
laser_set_5	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865395&rl=0_0	OK
laser_set_6	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865402&rl=0_0	OK
laser_set_7	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865404&rl=0_0	OK
laser_set_8	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=22660788&rl=0_0	OK
massage_set_total_relax	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=22417510&rl=0_0	OK
massage_set_glow_relax	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=22164721&rl=0_0	OK
wax_set_l	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20862491&rl=0_0	OK
wax_set_m	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20862475&rl=0_0	OK
wax_set_s	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20862434&rl=0_0	OK
laser_lower_legs	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865081&rl=0_0	OK
laser_upper_legs	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865088&rl=0_0	OK
laser_bikini_classic	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865092&rl=0_0	OK
laser_buttocks	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865073&rl=0_0	OK
laser_deep_bikini	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865100&rl=0_0	OK
laser_full_legs	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865079&rl=0_0	OK
laser_areoli	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865068&rl=0_0	OK
laser_back	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865061&rl=0_0	OK
laser_underarms	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865111&rl=0_0	OK
laser_arms_half	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865045&rl=0_0	OK
laser_arms_full	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865041&rl=0_0	OK
laser_face_cheeks	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865122&rl=0_0	OK
laser_face_upper_lip	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865124&rl=0_0	OK
laser_face_chin	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865120&rl=0_0	OK
laser_belly_line	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865135&rl=0_0	OK
laser_belly	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865129&rl=0_0	OK
vela_30	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=22035574&rl=0_0	OK
vela_60	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=21812888&rl=0_0	OK
vela_face_30	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=22651079&rl=0_0	OK
vela_face_mask_45	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=22651086&rl=0_0	OK
vela_face_neck_45	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=22651094&rl=0_0	OK
vela_face_neck_mask_60	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=22651173&rl=0_0	OK
vela_face_sub_3		NO_DIKIDI_SERVICE
vela_face_sub_6		NO_DIKIDI_SERVICE
vela_face_mask_sub_3		NO_DIKIDI_SERVICE
vela_face_mask_sub_6		NO_DIKIDI_SERVICE
vela_face_neck_sub_3		NO_DIKIDI_SERVICE
vela_face_neck_sub_6		NO_DIKIDI_SERVICE
vela_face_neck_mask_sub_3		NO_DIKIDI_SERVICE
vela_face_neck_mask_sub_6		NO_DIKIDI_SERVICE
massage_back_30	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=21183770&rl=0_0	OK
massage_back_60	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=21183778&rl=0_0	OK
massage_face	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=21745059&rl=0_0	OK
massage_face_decollete	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=22097225&rl=0_0	OK
massage_body_60	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=21183798&rl=0_0	OK
massage_body_90	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=21183807&rl=0_0	OK
wax_lower_legs	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20862262&rl=0_0	OK
wax_upper_legs	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20862268&rl=0_0	OK
wax_bikini_classic	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20862304&rl=0_0	OK
wax_buttocks	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20862248&rl=0_0	OK
wax_deep_bikini	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20862375&rl=0_0	OK
wax_full_legs	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20862252&rl=0_0	OK
wax_areoli	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20862238&rl=0_0	OK
wax_underarms	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20862378&rl=0_0	OK
wax_arms_half	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20860866&rl=0_0	OK
wax_arms_full	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20831095&rl=0_0	OK
wax_brows	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20862407&rl=0_0	OK
wax_face_cheeks	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20862393&rl=0_0	OK
wax_face_upper_lip	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865117&rl=0_0	OK
wax_face_chin	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20862399&rl=0_0	OK
wax_belly_line	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865137&rl=0_0	OK
wax_belly	https://dikidi.net/1941764?p=1.pi-ssm-sd&s=20865131&rl=0_0	OK
